nome_uf;nome_mun
Rondônia;ALTA FLORESTA D'OESTE
Rondônia;ARIQUEMES
Rondônia;CABIXI
Rondônia;CACOAL
Rondônia;CEREJEIRAS
Rondônia;COLORADO DO OESTE
Rondônia;CORUMBIARA
Rondônia;COSTA MARQUES
Rondônia;ESPIGAO D'OESTE
Rondônia;GUAJARA-MIRIM
Rondônia;JARU
Rondônia;JI-PARANA
Rondônia;MACHADINHO D'OESTE
Rondônia;NOVA BRASILANDIA D'OESTE
Rondônia;OURO PRETO DO OESTE
Rondônia;PIMENTA BUENO
Rondônia;PORTO VELHO
Rondônia;PRESIDENTE MEDICI
Rondônia;RIO CRESPO
Rondônia;ROLIM DE MOURA
Rondônia;SANTA LUZIA D'OESTE
Rondônia;VILHENA
Rondônia;SAO MIGUEL DO GUAPORE
Rondônia;NOVA MAMORE
Rondônia;ALVORADA D'OESTE
Rondônia;ALTO ALEGRE DOS PARECIS
Rondônia;ALTO PARAISO
Rondônia;BURITIS
Rondônia;NOVO HORIZONTE DO OESTE
Rondônia;CACAULANDIA
Rondônia;CAMPO NOVO DE RONDONIA
Rondônia;CANDEIAS DO JAMARI
Rondônia;CASTANHEIRAS
Rondônia;CHUPINGUAIA
Rondônia;CUJUBIM
Rondônia;GOVERNADOR JORGE TEIXEIRA
Rondônia;ITAPUA DO OESTE
Rondônia;MINISTRO ANDREAZZA
Rondônia;MIRANTE DA SERRA
Rondônia;MONTE NEGRO
Rondônia;NOVA UNIAO
Rondônia;PARECIS
Rondônia;PIMENTEIRAS DO OESTE
Rondônia;PRIMAVERA DE RONDONIA
Rondônia;SAO FELIPE D'OESTE
Rondônia;SAO FRANCISCO DO GUAPORE
Rondônia;SERINGUEIRAS
Rondônia;TEIXEIROPOLIS
Rondônia;THEOBROMA
Rondônia;URUPA
Rondônia;VALE DO ANARI
Rondônia;VALE DO PARAISO
Acre;ACRELANDIA
Acre;ASSIS BRASIL
Acre;BRASILEIA
Acre;BUJARI
Acre;CAPIXABA
Acre;CRUZEIRO DO SUL
Acre;EPITACIOLANDIA
Acre;FEIJO
Acre;JORDAO
Acre;MANCIO LIMA
Acre;MANOEL URBANO
Acre;MARECHAL THAUMATURGO
Acre;PLACIDO DE CASTRO
Acre;PORTO WALTER
Acre;RIO BRANCO
Acre;RODRIGUES ALVES
Acre;SANTA ROSA DO PURUS
Acre;SENADOR GUIOMARD
Acre;SENA MADUREIRA
Acre;TARAUACA
Acre;XAPURI
Acre;PORTO ACRE
Amazonas;ALVARAES
Amazonas;AMATURA
Amazonas;ANAMA
Amazonas;ANORI
Amazonas;APUI
Amazonas;ATALAIA DO NORTE
Amazonas;AUTAZES
Amazonas;BARCELOS
Amazonas;BARREIRINHA
Amazonas;BENJAMIN CONSTANT
Amazonas;BERURI
Amazonas;BOA VISTA DO RAMOS
Amazonas;BOCA DO ACRE
