K,inertia_mean,silhouette_mean,calinski_mean,davies_mean,inertia_med,silhouette_med,calinski_med,davies_med,rank_inertia,rank_sil,rank_calinski,rank_davies,score_w,score
2,404066.8897932926,0.8311753747399411,5659.373872266942,0.7434536728018437,404066.8897932927,0.8311753747399412,5659.373872266942,0.7434536728018437,11.0,1.0,1.0,3.0,18.7,-18.7
3,300889.6338402497,0.8100359443112788,4753.807315125316,0.6870579055014948,300889.6338402497,0.8100359443112788,4753.807315125316,0.6870579055014948,10.0,2.0,2.0,1.0,17.9,-17.9
4,251348.24132265634,0.6420195443912177,4158.87294315966,0.760348505181722,251348.24132265634,0.6420195443912177,4158.87294315966,0.760348505181722,9.0,3.0,5.0,4.0,28.6,-28.6
5,204225.27985604363,0.6202567753235075,4159.196240190327,0.7707590996778233,204225.17275984265,0.6203158209735542,4159.199150852373,0.7704960530917815,8.0,4.0,4.0,5.0,28.3,-28.3
6,166830.00694415075,0.6202394585815111,4321.894951143235,0.7127996841027564,166830.27101131802,0.6201350821121812,4321.886348820051,0.7131600202802324,7.0,5.0,3.0,2.0,22.0,-22.0
7,152561.23087168956,0.455753482134346,4024.4391710503814,0.88708736004281,152561.24799015227,0.45578074205244923,4024.4391702346506,0.8871258711254101,6.0,6.0,6.0,6.0,34.2,-34.2
8,140044.6905559976,0.40356974375270144,3828.1607502683073,0.9835428967815483,140037.8769998573,0.40175784549982,3828.3855662622836,0.9858761878213524,5.0,7.0,7.0,9.0,40.9,-40.9
9,129034.89869724431,0.4023750216632839,3694.104674608101,0.9480746719573464,129013.68770617191,0.40121803071334805,3694.828384530004,0.9485348995041001,4.0,8.0,8.0,7.0,40.1,-40.1
10,121138.46380044676,0.3642786684506265,3537.3440758950323,0.9744361481810255,121135.61388230603,0.3675156793677222,3537.432482795353,0.9731876621458511,3.0,9.0,9.0,8.0,43.8,-43.8
11,114276.17099290586,0.14927813424688802,3407.5495964102993,1.1938927721353327,114263.1844732879,0.14924835176680287,3407.9996508427876,1.1927232345252343,2.0,11.0,10.0,10.0,50.2,-50.2
12,109164.19435424477,0.15591124856278832,3265.9216800846484,1.1995088618745782,109097.39797280022,0.1557842079339009,3268.224712467528,1.204713701249158,1.0,10.0,11.0,11.0,51.5,-51.5
