pair_rank_global,cluster_id,cluster_nome,cod_mun_a,nome_a,uf_a,cod_mun_b,nome_b,uf_b,dist_socio,dist_rqual,divergencia,indicador_dominante,divergencia_ponderada,IND2_a,IND4_a,IND5_a,IND8_a,IND9_a,INF1_a,INF4-UP_a,IND2_b,IND4_b,IND5_b,IND8_b,IND9_b,INF1_b,INF4-UP_b
1,1,C1: Intermediário,4309753,Ibarama,RS,4322152,Tunas,RS,0.20403342598420693,9.755621959282953,47.813841601739504,IND5,2.5743904392282246,0.0643507177646271,0.3366532609439398,0.0645294773927,-0.020135370768297,1.4360268055160963,0.6515332289315189,-0.6612063120315484,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
2,1,C1: Intermediário,4210555,Marema,SC,4317954,Santo Expedito do Sul,RS,0.34800780661624536,9.762359601960359,28.052128108359835,INF1,0.43377597310774557,-0.3374336499446617,-1.565826677788851,0.2163359610820577,0.4244638013620331,-0.0886267678683725,-0.6425564934779867,-0.0226914053909465,-0.3639841797927218,1.2093340360844866,0.8655440766677309,-0.3826591251534898,0.3051151002941978,8.523061028105163,-0.6195366907761776
3,1,C1: Intermediário,4309159,Gramado Xavier,RS,4322152,Tunas,RS,0.43136309894411584,11.945544775615078,27.692551303444016,IND5,3.1773769895764974,-0.8281748057481363,1.2488734169210545,1.0897386368621915,0.6812697292543605,0.0647604789572551,-0.0661258176057097,0.6303023864641334,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
4,2,C2: Nordeste Vulnerável,2411429,Santana do Seridó,RN,2504850,Coxixola,PB,0.2707621113380636,6.620671676419237,24.451987093943593,IND5,2.2120918870147928,4.274661089234527,0.3157856927708621,-4.336569178893552,0.5601215663852321,0.4115965762520264,-1.576770169720865,-0.1564747066188529,-0.7444659372925846,1.2349559022544805,-0.5269373453781603,0.3145822101091594,0.353930292241571,-0.509229102687012,-0.166010100202128
5,1,C1: Intermediário,3126406,Fortuna de Minas,MG,3149606,Pequi,MG,0.4449151036704407,10.086420236811632,22.670437867653167,IND5,0.6023829825068572,-0.6123531953353089,1.1570162419552823,-0.2692316550586665,-2.88126096810236,0.2720794324601108,-0.5185493331690135,-0.6239936944326352,3.894708294732922,-0.943107506274586,0.754951306929268,0.6025674140244962,1.200186942737945,-0.854844034216893,2.073212636733004
6,1,C1: Intermediário,4301925,Barra do Rio Azul,RS,4317954,Santo Expedito do Sul,RS,0.4592470785318879,10.311755118645348,22.45361065585034,INF1,0.4755260157515578,-0.8499248541926483,-0.7478574244936413,0.1852542530690093,0.3619284098860914,0.6482015370460799,-1.5247282736284715,0.7883462256610225,-0.3639841797927218,1.2093340360844866,0.8655440766677309,-0.3826591251534898,0.3051151002941978,8.523061028105163,-0.6195366907761776
7,2,C2: Nordeste Vulnerável,2203420,Domingos Mourão,PI,3127073,Fruta de Leite,MG,0.44917553028904333,9.466405025684534,21.075068355833757,INF1,0.4116678005633608,-0.3464885864309752,1.0519277199417834,1.1828352002976683,0.4550657916425983,0.3051151002941978,8.029929952772747,-0.6195366907761776,4.274661089234527,0.1981712640877742,0.8233327495667514,0.6368673213931342,0.4867690358673273,-0.7026807201840174,2.039745328917313
8,1,C1: Intermediário,4312104,Mata,RS,4322152,Tunas,RS,0.4952846451543746,10.376288132457068,20.950151015226297,IND5,2.5419260371574386,0.6823690922027754,1.0729194372045283,0.0093328857930255,0.117112853012386,0.2791399364669263,-0.0793929867603682,-0.2814796697595684,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
9,1,C1: Intermediário,3129905,Ibitiúra de Minas,MG,3145505,Olímpio Noronha,MG,0.4752769123901674,9.777941356749327,20.57314605711209,IND5,0.6674717148639547,0.7391027436718803,0.2484858390074621,0.9155307520342064,-4.20162937971753,-0.0135018052482852,0.8202575669176154,1.6705961621387273,-0.5087835347352908,0.5411704742264046,-0.2193173061357459,0.6510170333850428,-0.5399673372749942,-0.0654761872579522,-0.7671933961175473
10,1,C1: Intermediário,4322152,Tunas,RS,4322525,Vale Verde,RS,0.5607233216350397,11.16751301077027,19.916262727025742,IND5,2.927839051136146,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917,-0.270132114058741,0.4353049682915663,0.6654695051934657,-0.97597295046628,0.5686250149039098,-1.024640086893341,-0.1385330860974113
