,C0: Urbano-Avançado,C1: Intermediário,C2: Nordeste Periférico,C3: Norte/Amazônico,C4: Capitais
IND2,0.0039027976238290097,0.0014902529696255603,0.0010353546346990093,0.0018173359703934644,0.004875167896502396
IND4,0.008114710390218815,0.0054877152031376905,0.00491828397750016,0.025339727528332884,0.012491645689223006
IND5,0.01930452298797543,0.022888636839688427,0.01857346142461019,0.06427794501093474,0.014112854841624318
IND8,0.001203758657111079,0.0013377964000145035,0.00169670606195206,0.0035331981265149417,0.0014623748383590413
IND9,0.004774857532216186,0.0007897766051373257,0.0012533934360884876,0.0008273722030004266,0.008317364510999983
INF1,0.005947180857097254,0.0018417409448736376,0.001507910248720919,0.0017850645150403672,0.006355575627955352
INF4-UP,0.020724648244580732,0.005079775130975357,0.0030018299620711373,0.0028341012710101604,0.012918202051210874
pib_agropecuaria,0.010519207399944556,0.00922067291961257,0.011245475219416315,0.02245189288589107,0.005769469039655644
pib_industria,0.32310565040573835,0.026817585850435612,0.007613600931051754,0.009302069331752741,0.09566690459645877
pib_per_capita,0.06036860580296482,0.06534351932861045,0.08820485415489708,0.015029904593974245,0.03185346084869421
area_km2,0.012123580607399308,0.01539293327569006,0.022053927919414837,0.354700497503841,0.01610972280880542
densidade,0.1847739488710694,0.021206075128644728,0.011149249663274524,0.06322781334687697,0.0626378215238486
lat,0.03606943367488959,0.1058716807663908,0.1729894774806303,0.021884846828881567,0.022780234962258894
lon,0.014814702121271832,0.05790723981558529,0.09099246422836484,0.08542831374969397,0.013761909025677907
pop_rural,0.009319446464064796,0.0320574762918142,0.027047128763148746,0.044381491362730036,0.013974549972804657
idhm,0.08608725261016595,0.13186334683476805,0.19681837208328234,0.05702920193871828,0.05501184499512911
