cod_mun,Indicador,meses_validos
1100015,IND2,30.0
1100015,IND4,20.0
1100015,IND5,29.0
1100015,IND8,48.0
1100015,IND9,6.0
1100015,INF1,6.0
1100015,INF4-DL,9.0
1100015,INF4-UP,9.0
1100023,IND2,30.0
1100023,IND4,30.0
1100023,IND5,43.0
1100023,IND8,69.0
1100023,IND9,50.0
1100023,INF1,32.0
1100023,INF4-DL,13.0
1100023,INF4-UP,13.0
1100031,IND2,17.0
1100031,IND4,10.0
1100031,IND5,17.0
1100031,IND8,42.0
1100031,IND9,0.0
1100031,INF1,4.0
1100031,INF4-DL,6.0
1100031,INF4-UP,7.0
1100049,IND2,30.0
1100049,IND4,30.0
1100049,IND5,40.0
1100049,IND8,60.0
1100049,IND9,48.0
1100049,INF1,29.0
1100049,INF4-DL,10.0
1100049,INF4-UP,10.0
1100056,IND2,30.0
1100056,IND4,30.0
1100056,IND5,39.0
1100056,IND8,48.0
1100056,IND9,0.0
1100056,INF1,9.0
1100056,INF4-DL,9.0
1100056,INF4-UP,9.0
1100064,IND2,30.0
1100064,IND4,30.0
1100064,IND5,39.0
1100064,IND8,48.0
1100064,IND9,4.0
1100064,INF1,11.0
1100064,INF4-DL,9.0
1100064,INF4-UP,9.0
1100072,IND2,10.0
1100072,IND4,10.0
1100072,IND5,19.0
1100072,IND8,36.0
1100072,IND9,0.0
1100072,INF1,5.0
1100072,INF4-DL,8.0
1100072,INF4-UP,9.0
1100080,IND2,10.0
1100080,IND4,10.0
1100080,IND5,10.0
1100080,IND8,36.0
1100080,IND9,0.0
1100080,INF1,6.0
1100080,INF4-DL,0.0
1100080,INF4-UP,5.0
1100098,IND2,30.0
1100098,IND4,20.0
1100098,IND5,28.0
1100098,IND8,42.0
1100098,IND9,7.0
1100098,INF1,9.0
1100098,INF4-DL,8.0
1100098,INF4-UP,8.0
1100106,IND2,30.0
1100106,IND4,30.0
1100106,IND5,39.0
1100106,IND8,54.0
1100106,IND9,26.0
1100106,INF1,15.0
1100106,INF4-DL,9.0
1100106,INF4-UP,9.0
1100114,IND2,30.0
1100114,IND4,30.0
1100114,IND5,40.0
1100114,IND8,60.0
1100114,IND9,30.0
1100114,INF1,19.0
1100114,INF4-DL,10.0
1100114,INF4-UP,10.0
1100122,IND2,30.0
1100122,IND4,30.0
1100122,IND5,43.0
1100122,IND8,63.0
1100122,IND9,55.0
1100122,INF1,32.0
1100122,INF4-DL,13.0
1100122,INF4-UP,13.0
1100130,IND2,30.0
1100130,IND4,30.0
1100130,IND5,38.0
1100130,IND8,48.0
