cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,shap_dominante,shap_dominante_valor
1100015,Alta Floresta D'Oeste,RO,3,1.0214279211079629,False,area_km2,0.2208696910829435
1100023,Ariquemes,RO,2,1.2590563700504622,False,lat,0.23920815218223593
1100031,Cabixi,RO,2,1.1510476608562183,False,lon,0.17682848544829038
1100049,Cacoal,RO,2,1.151335411579814,False,lon,0.1872921472780625
1100056,Cerejeiras,RO,2,1.1568471958097515,False,lon,0.29362205240236344
1100064,Colorado do Oeste,RO,2,1.1093576037069226,False,lon,0.2837771712633147
1100072,Corumbiara,RO,2,1.1373815747468259,False,idhm,0.13908402368855186
1100080,Costa Marques,RO,2,1.0799150621364462,False,idhm,0.20863994797135452
1100098,Espigão D'Oeste,RO,2,1.1332085956526678,False,lon,0.20507481039311634
1100106,Guajará-Mirim,RO,3,0.978674754042135,False,area_km2,0.4992985840950228
1100114,Jaru,RO,2,1.4105572648970512,True,lon,0.17856719664896642
1100122,Ji-Paraná,RO,2,1.1013317610421571,False,lon,0.17771928303783083
1100130,Machadinho D'Oeste,RO,3,0.9627951786780814,False,area_km2,0.40350113279395977
1100148,Nova Brasilândia D'Oeste,RO,2,1.1046817663489907,False,lon,0.1521304809896609
1100155,Ouro Preto do Oeste,RO,2,1.2897154423831336,True,lon,0.21646319061395308
1100189,Pimenta Bueno,RO,2,1.3850379609821186,True,idhm,0.17941129397562589
1100205,Porto Velho,RO,4,1.2851562082173247,True,pib_industria,0.09664243057710586
1100254,Presidente Médici,RO,2,1.0233187403605857,False,lon,0.22488951276098976
1100262,Rio Crespo,RO,2,1.092139271732297,False,lat,0.3032111072531055
1100288,Rolim de Moura,RO,2,1.131479585422281,False,lon,0.19507563222014873
1100296,Santa Luzia D'Oeste,RO,2,1.2207846973746566,False,lon,0.2864494131198257
1100304,Vilhena,RO,3,1.3124741674625462,True,area_km2,0.4028630217470722
1100320,São Miguel do Guaporé,RO,3,1.1220651813069282,False,area_km2,0.32777388674212676
1100338,Nova Mamoré,RO,3,0.9806162516971154,False,area_km2,0.4343454683703257
1100346,Alvorada D'Oeste,RO,2,1.0728288221835802,False,lon,0.18887371686824567
1100379,Alto Alegre dos Parecis,RO,2,1.1674899877792915,False,idhm,0.29188189030617584
1100403,Alto Paraíso,RO,2,1.0157807059868524,False,lat,0.2783554217070954
1100452,Buritis,RO,2,1.2019578618567253,False,idhm,0.13438756052003364
1100502,Novo Horizonte do Oeste,RO,2,1.1568840190161422,False,lon,0.18387115450764224
1100601,Cacaulândia,RO,2,1.1753203919724884,False,lon,0.23925819875728638
1100700,Campo Novo de Rondônia,RO,2,1.0611899021624283,False,idhm,0.1931280468739893
1100809,Candeias do Jamari,RO,2,1.2456652199935228,False,lon,0.177984853368014
1100908,Castanheiras,RO,2,1.4126231817011752,True,lon,0.26721960401613054
1100924,Chupinguaia,RO,2,1.2691954801634577,True,lon,0.24215224425382584
1100940,Cujubim,RO,2,1.1864150188320635,False,lat,0.251113091938825
1101005,Governador Jorge Teixeira,RO,2,1.1694997233182478,False,idhm,0.14394947055129168
1101104,Itapuã do Oeste,RO,2,1.0660548658146258,False,lat,0.2758635659657972
1101203,Ministro Andreazza,RO,2,1.0681838190767938,False,lon,0.2233814016726928
1101302,Mirante da Serra,RO,2,1.069910555565095,False,lon,0.21952016795687165
1101401,Monte Negro,RO,2,1.006783491915744,False,idhm,0.3144023147078814
1101435,Nova União,RO,2,1.083779748592194,False,idhm,0.22424374916585618
1101450,Parecis,RO,2,1.144936000185593,False,idhm,0.13634264970929716
1101468,Pimenteiras do Oeste,RO,2,1.5611823745084898,True,lon,0.2276245492919684
1101476,Primavera de Rondônia,RO,2,1.1385797943053464,False,lon,0.19939712533791365
1101484,São Felipe D'Oeste,RO,2,1.126276847356202,False,lon,0.24077345811943787
1101492,São Francisco do Guaporé,RO,3,1.0156357539489886,False,area_km2,0.4192416996533756
1101500,Seringueiras,RO,2,1.1017212779005245,False,idhm,0.16322307333713873
1101559,Teixeirópolis,RO,2,1.1406969765532353,False,lon,0.24303606922932552
1101609,Theobroma,RO,2,1.016021152023145,False,idhm,0.21190360910724287
1101708,Urupá,RO,2,1.0158276672447728,False,idhm,0.15494638467539798
1101757,Vale do Anari,RO,2,1.062724109830282,False,lat,0.2303103420803957
1101807,Vale do Paraíso,RO,2,1.161064857304008,False,lon,0.1466151900638649
1200013,Acrelândia,AC,2,1.0100494333690375,False,lat,0.24342701551288373
1200054,Assis Brasil,AC,3,1.0619997492993187,False,idhm,0.12518882599178396
1200104,Brasiléia,AC,3,0.9687246718571736,False,lon,0.104028265055019
1200138,Bujari,AC,2,1.1062121694070235,False,lat,0.25803353240198296
1200179,Capixaba,AC,2,1.349021857517432,True,idhm,0.3325646370880793
1200203,Cruzeiro do Sul,AC,3,1.0080757821280657,False,area_km2,0.36649414756783005
1200252,Epitaciolândia,AC,2,1.1098960262728215,False,lon,0.22504711664184393
1200302,Feijó,AC,3,0.9845096313435091,False,area_km2,0.4589567848247721
1200328,Jordão,AC,3,1.0040114354238956,False,lon,0.13922971605295845
1200336,Mâncio Lima,AC,2,1.1462814926201337,False,lat,0.23245311741876898
1200344,Manoel Urbano,AC,3,0.9843799720878625,False,area_km2,0.46297213851162883
1200351,Marechal Thaumaturgo,AC,3,1.0593229446131047,False,area_km2,0.3428615567771872
1200385,Plácido de Castro,AC,2,1.1139920387275442,False,idhm,0.11886149323620492
1200393,Porto Walter,AC,3,1.0034851818187966,False,area_km2,0.1764566397964469
1200401,Rio Branco,AC,4,1.0895811716139963,True,idhm,0.04362903045588197
1200427,Rodrigues Alves,AC,2,1.0050201397497271,False,lat,0.19485367063693054
1200435,Santa Rosa do Purus,AC,3,1.1372284070210443,False,lon,0.15077146118691023
1200450,Senador Guiomard,AC,2,1.3010086600860948,True,lon,0.14125653707372204
1200500,Sena Madureira,AC,3,0.9814009031268401,False,area_km2,0.463764210998758
1200609,Tarauacá,AC,3,1.0140714242000475,False,area_km2,0.45828557940870923
1200708,Xapuri,AC,3,1.016605733088032,False,lon,0.11712098600704349
1200807,Porto Acre,AC,2,1.0616178592494907,False,lat,0.22219473456546096
1300029,Alvarães,AM,3,1.1943189402076602,False,lon,0.1724006475240724
1300060,Amaturá,AM,3,1.2591339415939473,True,lon,0.16702790681933882
1300086,Anamã,AM,2,1.1049686664996945,False,idhm,0.15854795046778966
1300102,Anori,AM,3,1.1585476616785007,False,lon,0.18393626381640116
1300144,Apuí,AM,3,0.9842628535470437,False,area_km2,0.40439303554751144
1300201,Atalaia do Norte,AM,3,1.1458002604923965,False,area_km2,0.3923966690582509
1300300,Autazes,AM,3,1.00170820785688,False,area_km2,0.4104546914539103
1300409,Barcelos,AM,3,0.9926370161039877,False,area_km2,0.4050231382188926
1300508,Barreirinha,AM,3,0.9711275236787896,False,lon,0.15888621481892815
1300607,Benjamin Constant,AM,3,0.9895725636055104,False,area_km2,0.37135381523742694
1300631,Beruri,AM,3,1.2226831213302505,True,area_km2,0.45747804505879275
1300680,Boa Vista do Ramos,AM,2,1.2199193024609092,False,idhm,0.24566607539556715
1300706,Boca do Acre,AM,3,0.9918872231547313,False,area_km2,0.41810434149873105
1300805,Borba,AM,3,0.9704723139841155,False,area_km2,0.45854057481330657
1300839,Caapiranga,AM,3,1.0311076091938105,False,area_km2,0.409287519480304
1300904,Canutama,AM,3,1.1640795039802727,False,area_km2,0.4207893367853087
1301001,Carauari,AM,3,1.0030060209971474,False,area_km2,0.4044510334148414
1301100,Careiro,AM,2,1.1084335800152862,False,idhm,0.16688140442653782
1301159,Careiro da Várzea,AM,2,1.245158335021783,False,idhm,0.24494066847907986
1301209,Coari,AM,3,1.0318042732355868,False,area_km2,0.3940763837367842
1301308,Codajás,AM,3,1.0348865949425767,False,area_km2,0.4543709424731114
1301407,Eirunepé,AM,3,0.9818373893470461,False,area_km2,0.42360108041241173
1301506,Envira,AM,3,1.0967517626358863,False,area_km2,0.33541427346453734
1301605,Fonte Boa,AM,3,0.9881871110810139,False,area_km2,0.4115472504101331
1301654,Guajará,AM,3,1.014376575799595,False,area_km2,0.3726111893440659
1301704,Humaitá,AM,3,0.9885975089199954,False,area_km2,0.454981190616168
1301803,Ipixuna,AM,3,1.1363340036132947,False,area_km2,0.39694119369923786
1301852,Iranduba,AM,2,1.155421967697197,False,idhm,0.2311241268890785
1301902,Itacoatiara,AM,3,1.0116662451679999,False,area_km2,0.3758760377581928
1301951,Itamarati,AM,3,1.143780940174811,False,area_km2,0.4164467130939246
1302009,Itapiranga,AM,2,1.056188172527437,False,lat,0.07721043611103895
1302108,Japurá,AM,3,1.1324343289527838,False,area_km2,0.4234391982740237
1302207,Juruá,AM,3,0.9891716592156536,False,area_km2,0.3914585537465595
1302306,Jutaí,AM,3,1.3415981329365623,True,area_km2,0.4318065881980575
1302405,Lábrea,AM,3,1.0055772797305593,False,area_km2,0.3935294663718221
1302504,Manacapuru,AM,3,1.0088152822721699,False,area_km2,0.33764876056233667
1302553,Manaquiri,AM,2,1.1547322097959087,False,idhm,0.15826759390791656
1302603,Manaus,AM,4,1.0136336562311299,False,pib_industria,0.09926107526951433
1302702,Manicoré,AM,3,1.110734212779476,False,area_km2,0.3977638920530386
1302801,Maraã,AM,3,1.0017153195756536,False,area_km2,0.4171153733025927
1302900,Maués,AM,3,1.018229182906877,False,area_km2,0.4586282732586662
1303007,Nhamundá,AM,3,1.0621667797924246,False,area_km2,0.46473260438567277
1303106,Nova Olinda do Norte,AM,2,1.1767343149163705,False,idhm,0.1794995317199835
1303205,Novo Airão,AM,3,1.2667247863718887,True,area_km2,0.42810013103890876
1303304,Novo Aripuanã,AM,3,0.9750810540652856,False,area_km2,0.40481868357333456
1303403,Parintins,AM,3,0.9964104124517545,False,area_km2,0.0912789106044505
1303502,Pauini,AM,3,1.0319311986317004,False,area_km2,0.4328910502998822
1303536,Presidente Figueiredo,AM,3,0.9766394335648989,False,area_km2,0.48192730615657986
1303569,Rio Preto da Eva,AM,2,1.0406123303940804,False,idhm,0.166819929530913
1303601,Santa Isabel do Rio Negro,AM,3,1.0434691558406652,False,area_km2,0.3952143712013022
1303700,Santo Antônio do Içá,AM,3,0.9775884311835139,False,area_km2,0.42542784334864486
1303809,São Gabriel da Cachoeira,AM,3,1.0964761672706484,False,area_km2,0.41117659578569976
1303908,São Paulo de Olivença,AM,3,0.9799260280590074,False,area_km2,0.40208622655354664
1303957,São Sebastião do Uatumã,AM,3,1.0187681338459131,False,area_km2,0.4200993615742084
1304005,Silves,AM,2,1.2276772294995102,False,lon,0.18493403779804218
1304062,Tabatinga,AM,3,1.3964337297689493,True,lon,0.1441459617821258
1304104,Tapauá,AM,3,0.9919923847256562,False,area_km2,0.42272073930764825
1304203,Tefé,AM,3,1.0051912252409454,False,area_km2,0.44521942781100005
1304237,Tonantins,AM,3,0.9804789883099421,False,area_km2,0.18856175043086326
1304260,Uarini,AM,3,0.989454778584631,False,area_km2,0.4072847813043378
1304302,Urucará,AM,3,1.0645420966120809,False,area_km2,0.47199839074563077
1304401,Urucurituba,AM,2,1.0571586141370717,False,idhm,0.25575914440646
1400027,Amajari,RR,3,1.0219930836751505,False,area_km2,0.46325139698391266
1400050,Alto Alegre,RR,3,0.9994624456880095,False,area_km2,0.4560870376182736
1400100,Boa Vista,RR,4,0.998956604604999,False,pop_rural,0.035218836419711734
1400159,Bonfim,RR,3,0.9807544384892004,False,area_km2,0.3702650927933793
1400175,Cantá,RR,3,0.9673395646231555,False,area_km2,0.384336280142215
1400209,Caracaraí,RR,3,0.9883392173692147,False,area_km2,0.47951981013620687
1400233,Caroebe,RR,3,1.0881614243046542,False,area_km2,0.48018547339541306
1400282,Iracema,RR,3,1.0109088932113681,False,area_km2,0.4681371061382681
1400308,Mucajaí,RR,3,0.9815525306529018,False,area_km2,0.47998648871820604
1400407,Normandia,RR,3,0.9958430136783687,False,area_km2,0.2779166893159094
1400456,Pacaraima,RR,3,1.0514601004671054,False,area_km2,0.32665356814659496
1400472,Rorainópolis,RR,3,0.9847465905397825,False,area_km2,0.4783636015221753
1400506,São João da Baliza,RR,2,1.0748563926864017,False,lon,0.20991445632238484
1400605,São Luiz,RR,2,1.0949217350031248,False,lon,0.20682836989458825
1400704,Uiramutã,RR,3,1.1443152251935174,False,area_km2,0.36114605210484174
1500107,Abaetetuba,PA,2,1.14578979243472,False,pib_per_capita,0.13564012505779724
1500131,Abel Figueiredo,PA,2,1.070388658145442,False,lat,0.3810319598204205
1500206,Acará,PA,3,1.2337074127890537,True,idhm,0.12457317198262455
1500305,Afuá,PA,3,1.032530899466229,False,area_km2,0.3862352770407246
1500347,Água Azul do Norte,PA,2,1.3228250657467253,True,lat,0.26142344314958893
1500404,Alenquer,PA,3,1.0284495757757017,False,area_km2,0.4601609972229294
1500503,Almeirim,PA,3,0.9780795474595193,False,area_km2,0.5166628994419253
1500602,Altamira,PA,3,1.0107721781165357,False,area_km2,0.4254262908655175
1500701,Anajás,PA,3,1.024577981651153,False,area_km2,0.23745063519442833
1500800,Ananindeua,PA,0,0.9828528888354894,False,densidade,0.4289558043434397
1500859,Anapu,PA,3,1.1525269906202449,False,area_km2,0.43991166872782583
1500909,Augusto Corrêa,PA,2,1.0411670006215181,False,idhm,0.2941959702380351
1500958,Aurora do Pará,PA,2,1.12358483754348,False,idhm,0.3175362087010296
1501006,Aveiro,PA,3,1.1163391541817183,False,area_km2,0.4256311603085494
1501105,Bagre,PA,3,1.5966433070107033,True,lon,0.12316093701263815
1501204,Baião,PA,3,1.05296573216873,False,lon,0.09346724702105945
1501253,Bannach,PA,2,1.115085104034921,False,lat,0.3612236222375161
1501303,Barcarena,PA,0,1.4901583886612706,True,pib_industria,0.42930355277877275
1501402,Belém,PA,4,1.0058569748671464,False,pib_industria,0.11435852703968531
1501451,Belterra,PA,2,1.104958856816204,False,idhm,0.24698773679710306
1501501,Benevides,PA,2,1.1030761084002683,False,idhm,0.07616968294731156
1501576,Bom Jesus do Tocantins,PA,2,1.0033700940548405,False,idhm,0.31083322700786525
1501600,Bonito,PA,2,1.0399819134894583,False,idhm,0.35100773030628757
1501709,Bragança,PA,2,0.9847222349722232,False,idhm,0.2496203927469493
1501725,Brasil Novo,PA,2,1.1711291494704146,False,idhm,0.20210659023975383
1501758,Brejo Grande do Araguaia,PA,2,1.0912503945745589,False,lat,0.3168977182979869
1501782,Breu Branco,PA,2,1.284815376844213,True,lat,0.2347452016877981
1501808,Breves,PA,3,1.4356012725410099,True,area_km2,0.38805985244174696
1501907,Bujaru,PA,2,1.1125038210443519,False,idhm,0.3501744779790864
